태도,주관적규범,지각된행위통제,의도,행위
33,46,50,21,59
30,53,50,17,36
37,30,45,14,44
29,27,38,15,35
36,55,48,15,62
42,37,41,21,60
27,14,34,18,38
35,55,40,18,38
35,55,47,19,68
27,57,42,15,42
22,37.4,22,10,35
25,48,38,12,16
42,68,56,21,77
25,43,42,10,24
38,55,48,19,73
35,39,38,15,35
38,51.7,33,21,64
36,36,30,21,35
34,51.7,46,19,69
40,60,45,21,60
35,55,43,20,60
40,56,42,21,41
36,66,42,16,38
31,48,42,21,23
27,55,38,13,36
36,64.9,48,20,56
18,26,41,11,25
24,39,34,16,11
37,27,42,18,56
31,55,39,15,27
35,43,46,14,19
30,25,35,17,29
25,47,33,19,40
37,61,40,21,41
34,61,36,21,47
30,44,34,18,25
38,53,47,21,65
22,39,37,12,38
34,64,48,17,57
23,59,39,13,69
26,38,36,13,46
31,53,30,18,14
42,53,45,21,65
37,33,46,21,77
33,47,42,21,62
35,40,38,21,45
38,51,51,18,37
42,60,47,21,62
24,36,39,14,50
40,52,43,21,42
37,32,40,12,43
25,32,22,16,46
38,38,49,17,32
39,50,41,17,35
9,24,13,4,22
35,51,46,19,55
22,30,32,14,23
29,32,38,18,33
32,51,48,13,44
18,33,30,10,29
