"Time","여당의석수","제안지지율","의결지지율","의결결과"
"문제인정부",131,74,39,"임기만료폐기"
"문제인정부",135,92,52,"대안반영폐기"
"문제인정부",135,47,29,"대안반영폐기"
"문제인정부",140,57,36,"대안반영폐기"
"문제인정부",141,69,30,"대안반영폐기"
"문제인정부",141,70,35,"임기만료폐기"
"문제인정부",144,34,60,"대안반영폐기"
"문제인정부",144,34,59,"수정가결"
"문제인정부",145,91,34,"대안반영폐기"
"문제인정부",145,85,56,"임기만료폐기"
"문제인정부",147,43,85,"수정가결"
"문제인정부",147,68,70,"수정가결"
"문제인정부",149,44,46,"임기만료폐기"
"문제인정부",149,94,53,"임기만료폐기"
"문제인정부",149,30,60,"임기만료폐기"
"문제인정부",150,93,38,"대안반영폐기"
"문제인정부",150,53,67,"수정가결"
"문제인정부",150,61,48,"임기만료폐기"
"문제인정부",151,59,50,"대안반영폐기"
"문제인정부",152,63,44,"대안반영폐기"
"문제인정부",152,82,49,"수정가결"
"문제인정부",152,37,70,"수정가결"
"문제인정부",152,59,58,"수정가결"
"문제인정부",153,21,57,"수정가결"
"문제인정부",154,39,38,"임기만료폐기"
"문제인정부",154,53,53,"수정가결"
"문제인정부",154,80,51,"수정가결"
"문제인정부",157,29,7,"대안반영폐기"
"문제인정부",157,50,53,"수정가결"
"문제인정부",157,12,56,"수정가결"
"문제인정부",157,44,54,"수정가결"
"문제인정부",158,21,39,"대안반영폐기"
"문제인정부",158,44,46,"임기만료폐기"
"문제인정부",158,39,42,"대안반영폐기"
"문제인정부",158,58,34,"대안반영폐기"
"문제인정부",158,73,61,"수정가결"
"문제인정부",159,37,18,"대안반영폐기"
"문제인정부",159,20,40,"대안반영폐기"
"문제인정부",159,23,44,"대안반영폐기"
"문제인정부",159,100,58,"임기만료폐기"
"문제인정부",160,38,39,"대안반영폐기"
"문제인정부",160,71,32,"임기만료폐기"
"문제인정부",160,49,34,"임기만료폐기"
"문제인정부",160,48,65,"수정가결"
"문제인정부",160,30,52,"수정가결"
"문제인정부",161,49,35,"대안반영폐기"
"문제인정부",161,59,35,"임기만료폐기"
"문제인정부",161,43,51,"임기만료폐기"
"문제인정부",161,59,65,"수정가결"
"문제인정부",161,59,57,"임기만료폐기"
"문제인정부",162,61,47,"대안반영폐기"
"문제인정부",162,70,61,"수정가결"
"문제인정부",163,51,34,"대안반영폐기"
"문제인정부",163,44,68,"수정가결"
"문제인정부",163,61,80,"수정가결"
"문제인정부",163,56,68,"수정가결"
"문제인정부",163,37,66,"수정가결"
"문제인정부",164,90,38,"대안반영폐기"
"문제인정부",164,42,21,"대안반영폐기"
"문제인정부",164,11,57,"수정가결"
"문제인정부",164,100,70,"수정가결"
"문제인정부",165,30,24,"대안반영폐기"
"문제인정부",165,45,58,"수정가결"
"문제인정부",165,91,45,"수정가결"
"문제인정부",165,40,60,"수정가결"
"문제인정부",166,36,21,"임기만료폐기"
"문제인정부",166,66,23,"대안반영폐기"
"문제인정부",166,42,73,"수정가결"
"문제인정부",166,51,64,"임기만료폐기"
"문제인정부",166,54,75,"수정가결"
"문제인정부",166,68,48,"임기만료폐기"
"문제인정부",167,94,43,"수정가결"
"문제인정부",167,59,81,"임기만료폐기"
"문제인정부",167,70,46,"수정가결"
"문제인정부",167,63,47,"임기만료폐기"
"문제인정부",168,46,36,"대안반영폐기"
"문제인정부",168,87,47,"수정가결"
"문제인정부",168,31,59,"임기만료폐기"
"문제인정부",169,44,67,"수정가결"
"문제인정부",169,35,72,"임기만료폐기"
"문제인정부",169,63,54,"수정가결"
"문제인정부",170,45,40,"임기만료폐기"
"문제인정부",171,56,43,"임기만료폐기"
"문제인정부",172,36,52,"수정가결"
"문제인정부",172,63,75,"수정가결"
"문제인정부",172,66,44,"수정가결"
"문제인정부",172,54,54,"수정가결"
"문제인정부",173,28,29,"대안반영폐기"
"문제인정부",173,53,70,"임기만료폐기"
"문제인정부",173,61,43,"수정가결"
"문제인정부",173,61,62,"수정가결"
"문제인정부",173,51,60,"수정가결"
"문제인정부",174,21,23,"대안반영폐기"
"문제인정부",174,79,48,"임기만료폐기"
"문제인정부",174,59,43,"수정가결"
"문제인정부",176,67,55,"임기만료폐기"
"문제인정부",176,84,72,"수정가결"
"문제인정부",176,63,59,"수정가결"
"문제인정부",177,48,33,"대안반영폐기"
"문제인정부",177,33,31,"임기만료폐기"
"문제인정부",177,71,42,"수정가결"
"문제인정부",177,58,48,"수정가결"
"문제인정부",178,35,35,"대안반영폐기"
"문제인정부",178,81,53,"임기만료폐기"
"문제인정부",178,27,51,"임기만료폐기"
"문제인정부",179,49,44,"수정가결"
"문제인정부",181,55,5,"임기만료폐기"
"문제인정부",183,16,36,"대안반영폐기"
"문제인정부",184,56,33,"대안반영폐기"
"문제인정부",184,83,65,"수정가결"
"문제인정부",184,68,56,"수정가결"
"문제인정부",188,76,27,"대안반영폐기"
"문제인정부",188,61,50,"수정가결"
"문제인정부",188,32,65,"수정가결"
"문제인정부",190,50,59,"수정가결"
"문제인정부",192,71,62,"수정가결"
"문제인정부",192,27,62,"임기만료폐기"
"문제인정부",193,82,63,"수정가결"
"문제인정부",196,100,32,"수정가결"
"문제인정부",196,67,36,"임기만료폐기"
